"","nosite","noyear","eff","days","freq","prox"
"360",100,20,0.01,4,1,"1_100"
"363",200,20,0.01,4,1,"1_200"
"365",300,20,0.01,4,1,"1_300"
"366",400,20,0.01,4,1,"1_400"
"367",500,20,0.01,4,1,"1_500"
"368",600,20,0.01,4,1,"1_600"
"376",100,25,0.01,4,1,"1_100"
"379",200,25,0.01,4,1,"1_200"
"381",300,25,0.01,4,1,"1_300"
"382",400,25,0.01,4,1,"1_400"
"383",500,25,0.01,4,1,"1_500"
"384",600,25,0.01,4,1,"1_600"
"392",100,5,0.001,6,1,"1_100"
"395",200,5,0.001,6,1,"1_200"
"397",300,5,0.001,6,1,"1_300"
"398",400,5,0.001,6,1,"1_400"
"399",500,5,0.001,6,1,"1_500"
"400",600,5,0.001,6,1,"1_600"
"408",100,10,0.001,6,1,"1_100"
"411",200,10,0.001,6,1,"1_200"
"413",300,10,0.001,6,1,"1_300"
"414",400,10,0.001,6,1,"1_400"
"415",500,10,0.001,6,1,"1_500"
"416",600,10,0.001,6,1,"1_600"
"424",100,20,0.001,6,1,"1_100"
"427",200,20,0.001,6,1,"1_200"
"429",300,20,0.001,6,1,"1_300"
"430",400,20,0.001,6,1,"1_400"
"431",500,20,0.001,6,1,"1_500"
"432",600,20,0.001,6,1,"1_600"
"440",100,25,0.001,6,1,"1_100"
"443",200,25,0.001,6,1,"1_200"
"445",300,25,0.001,6,1,"1_300"
"446",400,25,0.001,6,1,"1_400"
"447",500,25,0.001,6,1,"1_500"
"448",600,25,0.001,6,1,"1_600"
"456",100,5,0.002,6,1,"1_100"
"459",200,5,0.002,6,1,"1_200"
"461",300,5,0.002,6,1,"1_300"
"462",400,5,0.002,6,1,"1_400"
"463",500,5,0.002,6,1,"1_500"
"464",600,5,0.002,6,1,"1_600"
"472",100,10,0.002,6,1,"1_100"
"475",200,10,0.002,6,1,"1_200"
"477",300,10,0.002,6,1,"1_300"
"478",400,10,0.002,6,1,"1_400"
"479",500,10,0.002,6,1,"1_500"
"480",600,10,0.002,6,1,"1_600"
"488",100,20,0.002,6,1,"1_100"
"491",200,20,0.002,6,1,"1_200"
"493",300,20,0.002,6,1,"1_300"
"494",400,20,0.002,6,1,"1_400"
"495",500,20,0.002,6,1,"1_500"
"496",600,20,0.002,6,1,"1_600"
"504",100,25,0.002,6,1,"1_100"
"507",200,25,0.002,6,1,"1_200"
"509",300,25,0.002,6,1,"1_300"
"510",400,25,0.002,6,1,"1_400"
"511",500,25,0.002,6,1,"1_500"
"512",600,25,0.002,6,1,"1_600"
"520",100,5,0.01,6,1,"1_100"
"523",200,5,0.01,6,1,"1_200"
"525",300,5,0.01,6,1,"1_300"
"526",400,5,0.01,6,1,"1_400"
"527",500,5,0.01,6,1,"1_500"
"528",600,5,0.01,6,1,"1_600"
"536",100,10,0.01,6,1,"1_100"
"539",200,10,0.01,6,1,"1_200"
"541",300,10,0.01,6,1,"1_300"
"542",400,10,0.01,6,1,"1_400"
"543",500,10,0.01,6,1,"1_500"
"544",600,10,0.01,6,1,"1_600"
"552",100,20,0.01,6,1,"1_100"
"555",200,20,0.01,6,1,"1_200"
"557",300,20,0.01,6,1,"1_300"
"558",400,20,0.01,6,1,"1_400"
"559",500,20,0.01,6,1,"1_500"
"560",600,20,0.01,6,1,"1_600"
"568",100,25,0.01,6,1,"1_100"
"571",200,25,0.01,6,1,"1_200"
"573",300,25,0.01,6,1,"1_300"
"574",400,25,0.01,6,1,"1_400"
"575",500,25,0.01,6,1,"1_500"
"576",600,25,0.01,6,1,"1_600"
"581",50,5,0.001,2,2,"2_50"
"584",100,5,0.001,2,2,"2_100"
"586",150,5,0.001,2,2,"2_150"
"587",200,5,0.001,2,2,"2_200"
"588",250,5,0.001,2,2,"2_250"
"589",300,5,0.001,2,2,"2_300"
"597",50,10,0.001,2,2,"2_50"
"600",100,10,0.001,2,2,"2_100"
"602",150,10,0.001,2,2,"2_150"
"603",200,10,0.001,2,2,"2_200"
"604",250,10,0.001,2,2,"2_250"
"605",300,10,0.001,2,2,"2_300"
"613",50,20,0.001,2,2,"2_50"
"616",100,20,0.001,2,2,"2_100"
"618",150,20,0.001,2,2,"2_150"
"619",200,20,0.001,2,2,"2_200"
"620",250,20,0.001,2,2,"2_250"
"621",300,20,0.001,2,2,"2_300"
"629",50,25,0.001,2,2,"2_50"
"632",100,25,0.001,2,2,"2_100"
"634",150,25,0.001,2,2,"2_150"
"635",200,25,0.001,2,2,"2_200"
"636",250,25,0.001,2,2,"2_250"
"637",300,25,0.001,2,2,"2_300"
"645",50,5,0.002,2,2,"2_50"
"648",100,5,0.002,2,2,"2_100"
"650",150,5,0.002,2,2,"2_150"
"651",200,5,0.002,2,2,"2_200"
"652",250,5,0.002,2,2,"2_250"
"653",300,5,0.002,2,2,"2_300"
"661",50,10,0.002,2,2,"2_50"
"664",100,10,0.002,2,2,"2_100"
"666",150,10,0.002,2,2,"2_150"
"667",200,10,0.002,2,2,"2_200"
"668",250,10,0.002,2,2,"2_250"
"669",300,10,0.002,2,2,"2_300"
"677",50,20,0.002,2,2,"2_50"
"680",100,20,0.002,2,2,"2_100"
"682",150,20,0.002,2,2,"2_150"
"683",200,20,0.002,2,2,"2_200"
"684",250,20,0.002,2,2,"2_250"
"685",300,20,0.002,2,2,"2_300"
"693",50,25,0.002,2,2,"2_50"
"696",100,25,0.002,2,2,"2_100"
"698",150,25,0.002,2,2,"2_150"
"699",200,25,0.002,2,2,"2_200"
"700",250,25,0.002,2,2,"2_250"
"701",300,25,0.002,2,2,"2_300"
"709",50,5,0.01,2,2,"2_50"
"712",100,5,0.01,2,2,"2_100"
"714",150,5,0.01,2,2,"2_150"
"715",200,5,0.01,2,2,"2_200"
"716",250,5,0.01,2,2,"2_250"
"717",300,5,0.01,2,2,"2_300"
"725",50,10,0.01,2,2,"2_50"
"728",100,10,0.01,2,2,"2_100"
"730",150,10,0.01,2,2,"2_150"
"731",200,10,0.01,2,2,"2_200"
"732",250,10,0.01,2,2,"2_250"
"733",300,10,0.01,2,2,"2_300"
"741",50,20,0.01,2,2,"2_50"
"744",100,20,0.01,2,2,"2_100"
"746",150,20,0.01,2,2,"2_150"
"747",200,20,0.01,2,2,"2_200"
"748",250,20,0.01,2,2,"2_250"
"749",300,20,0.01,2,2,"2_300"
"757",50,25,0.01,2,2,"2_50"
"760",100,25,0.01,2,2,"2_100"
"762",150,25,0.01,2,2,"2_150"
"763",200,25,0.01,2,2,"2_200"
"764",250,25,0.01,2,2,"2_250"
"765",300,25,0.01,2,2,"2_300"
"773",50,5,0.001,4,2,"2_50"
"776",100,5,0.001,4,2,"2_100"
"778",150,5,0.001,4,2,"2_150"
"779",200,5,0.001,4,2,"2_200"
"780",250,5,0.001,4,2,"2_250"
"781",300,5,0.001,4,2,"2_300"
"789",50,10,0.001,4,2,"2_50"
"792",100,10,0.001,4,2,"2_100"
"794",150,10,0.001,4,2,"2_150"
"795",200,10,0.001,4,2,"2_200"
"796",250,10,0.001,4,2,"2_250"
"797",300,10,0.001,4,2,"2_300"
"805",50,20,0.001,4,2,"2_50"
"808",100,20,0.001,4,2,"2_100"
"810",150,20,0.001,4,2,"2_150"
"811",200,20,0.001,4,2,"2_200"
"812",250,20,0.001,4,2,"2_250"
"813",300,20,0.001,4,2,"2_300"
"821",50,25,0.001,4,2,"2_50"
"824",100,25,0.001,4,2,"2_100"
"826",150,25,0.001,4,2,"2_150"
"827",200,25,0.001,4,2,"2_200"
"828",250,25,0.001,4,2,"2_250"
"829",300,25,0.001,4,2,"2_300"
"837",50,5,0.002,4,2,"2_50"
"840",100,5,0.002,4,2,"2_100"
"842",150,5,0.002,4,2,"2_150"
"843",200,5,0.002,4,2,"2_200"
"844",250,5,0.002,4,2,"2_250"
"845",300,5,0.002,4,2,"2_300"
"853",50,10,0.002,4,2,"2_50"
"856",100,10,0.002,4,2,"2_100"
"858",150,10,0.002,4,2,"2_150"
"859",200,10,0.002,4,2,"2_200"
"860",250,10,0.002,4,2,"2_250"
"861",300,10,0.002,4,2,"2_300"
"869",50,20,0.002,4,2,"2_50"
"872",100,20,0.002,4,2,"2_100"
"874",150,20,0.002,4,2,"2_150"
"875",200,20,0.002,4,2,"2_200"
"876",250,20,0.002,4,2,"2_250"
"877",300,20,0.002,4,2,"2_300"
"885",50,25,0.002,4,2,"2_50"
"888",100,25,0.002,4,2,"2_100"
"890",150,25,0.002,4,2,"2_150"
"891",200,25,0.002,4,2,"2_200"
"892",250,25,0.002,4,2,"2_250"
"893",300,25,0.002,4,2,"2_300"
"901",50,5,0.01,4,2,"2_50"
"904",100,5,0.01,4,2,"2_100"
"906",150,5,0.01,4,2,"2_150"
"907",200,5,0.01,4,2,"2_200"
"908",250,5,0.01,4,2,"2_250"
"909",300,5,0.01,4,2,"2_300"
"917",50,10,0.01,4,2,"2_50"
"920",100,10,0.01,4,2,"2_100"
"922",150,10,0.01,4,2,"2_150"
"923",200,10,0.01,4,2,"2_200"
"924",250,10,0.01,4,2,"2_250"
"925",300,10,0.01,4,2,"2_300"
"933",50,20,0.01,4,2,"2_50"
"936",100,20,0.01,4,2,"2_100"
"938",150,20,0.01,4,2,"2_150"
"939",200,20,0.01,4,2,"2_200"
"940",250,20,0.01,4,2,"2_250"
"941",300,20,0.01,4,2,"2_300"
"949",50,25,0.01,4,2,"2_50"
"952",100,25,0.01,4,2,"2_100"
"954",150,25,0.01,4,2,"2_150"
"955",200,25,0.01,4,2,"2_200"
"956",250,25,0.01,4,2,"2_250"
"957",300,25,0.01,4,2,"2_300"
"965",50,5,0.001,6,2,"2_50"
"968",100,5,0.001,6,2,"2_100"
"970",150,5,0.001,6,2,"2_150"
"971",200,5,0.001,6,2,"2_200"
"972",250,5,0.001,6,2,"2_250"
"973",300,5,0.001,6,2,"2_300"
"981",50,10,0.001,6,2,"2_50"
"984",100,10,0.001,6,2,"2_100"
