"","nosite","noyear","eff","days","freq","prox"
"1730",20,5,0.001,2,10,"10_20"
"1731",30,5,0.001,2,10,"10_30"
"1732",40,5,0.001,2,10,"10_40"
"1733",50,5,0.001,2,10,"10_50"
"1734",60,5,0.001,2,10,"10_60"
"1745",10,10,0.001,2,10,"10_10"
"1746",20,10,0.001,2,10,"10_20"
"1747",30,10,0.001,2,10,"10_30"
"1748",40,10,0.001,2,10,"10_40"
"1749",50,10,0.001,2,10,"10_50"
"1750",60,10,0.001,2,10,"10_60"
"1761",10,20,0.001,2,10,"10_10"
"1762",20,20,0.001,2,10,"10_20"
"1763",30,20,0.001,2,10,"10_30"
"1764",40,20,0.001,2,10,"10_40"
"1765",50,20,0.001,2,10,"10_50"
"1766",60,20,0.001,2,10,"10_60"
"1777",10,25,0.001,2,10,"10_10"
"1778",20,25,0.001,2,10,"10_20"
"1779",30,25,0.001,2,10,"10_30"
"1780",40,25,0.001,2,10,"10_40"
"1781",50,25,0.001,2,10,"10_50"
"1782",60,25,0.001,2,10,"10_60"
"1793",10,5,0.002,2,10,"10_10"
"1794",20,5,0.002,2,10,"10_20"
"1795",30,5,0.002,2,10,"10_30"
"1796",40,5,0.002,2,10,"10_40"
"1797",50,5,0.002,2,10,"10_50"
"1798",60,5,0.002,2,10,"10_60"
"1809",10,10,0.002,2,10,"10_10"
"1810",20,10,0.002,2,10,"10_20"
"1811",30,10,0.002,2,10,"10_30"
"1812",40,10,0.002,2,10,"10_40"
"1813",50,10,0.002,2,10,"10_50"
"1814",60,10,0.002,2,10,"10_60"
"1825",10,20,0.002,2,10,"10_10"
"1826",20,20,0.002,2,10,"10_20"
"1827",30,20,0.002,2,10,"10_30"
"1828",40,20,0.002,2,10,"10_40"
"1829",50,20,0.002,2,10,"10_50"
"1830",60,20,0.002,2,10,"10_60"
"1841",10,25,0.002,2,10,"10_10"
"1842",20,25,0.002,2,10,"10_20"
"1843",30,25,0.002,2,10,"10_30"
"1844",40,25,0.002,2,10,"10_40"
"1845",50,25,0.002,2,10,"10_50"
"1846",60,25,0.002,2,10,"10_60"
"1857",10,5,0.01,2,10,"10_10"
"1858",20,5,0.01,2,10,"10_20"
"1859",30,5,0.01,2,10,"10_30"
"1860",40,5,0.01,2,10,"10_40"
"1861",50,5,0.01,2,10,"10_50"
"1862",60,5,0.01,2,10,"10_60"
"1873",10,10,0.01,2,10,"10_10"
"1874",20,10,0.01,2,10,"10_20"
"1875",30,10,0.01,2,10,"10_30"
"1876",40,10,0.01,2,10,"10_40"
"1877",50,10,0.01,2,10,"10_50"
"1878",60,10,0.01,2,10,"10_60"
"1889",10,20,0.01,2,10,"10_10"
"1890",20,20,0.01,2,10,"10_20"
"1891",30,20,0.01,2,10,"10_30"
"1892",40,20,0.01,2,10,"10_40"
"1893",50,20,0.01,2,10,"10_50"
"1894",60,20,0.01,2,10,"10_60"
"1905",10,25,0.01,2,10,"10_10"
"1906",20,25,0.01,2,10,"10_20"
"1907",30,25,0.01,2,10,"10_30"
"1908",40,25,0.01,2,10,"10_40"
"1909",50,25,0.01,2,10,"10_50"
"1910",60,25,0.01,2,10,"10_60"
"1921",10,5,0.001,4,10,"10_10"
"1922",20,5,0.001,4,10,"10_20"
"1923",30,5,0.001,4,10,"10_30"
"1924",40,5,0.001,4,10,"10_40"
"1925",50,5,0.001,4,10,"10_50"
"1926",60,5,0.001,4,10,"10_60"
"1937",10,10,0.001,4,10,"10_10"
"1938",20,10,0.001,4,10,"10_20"
"1939",30,10,0.001,4,10,"10_30"
"1940",40,10,0.001,4,10,"10_40"
"1941",50,10,0.001,4,10,"10_50"
"1942",60,10,0.001,4,10,"10_60"
"1953",10,20,0.001,4,10,"10_10"
"1954",20,20,0.001,4,10,"10_20"
"1955",30,20,0.001,4,10,"10_30"
"1956",40,20,0.001,4,10,"10_40"
"1957",50,20,0.001,4,10,"10_50"
"1958",60,20,0.001,4,10,"10_60"
"1969",10,25,0.001,4,10,"10_10"
"1970",20,25,0.001,4,10,"10_20"
"1971",30,25,0.001,4,10,"10_30"
"1972",40,25,0.001,4,10,"10_40"
"1973",50,25,0.001,4,10,"10_50"
"1974",60,25,0.001,4,10,"10_60"
"1985",10,5,0.002,4,10,"10_10"
"1986",20,5,0.002,4,10,"10_20"
"1987",30,5,0.002,4,10,"10_30"
"1988",40,5,0.002,4,10,"10_40"
"1989",50,5,0.002,4,10,"10_50"
"1990",60,5,0.002,4,10,"10_60"
"2001",10,10,0.002,4,10,"10_10"
"2002",20,10,0.002,4,10,"10_20"
"2003",30,10,0.002,4,10,"10_30"
"2004",40,10,0.002,4,10,"10_40"
"2005",50,10,0.002,4,10,"10_50"
"2006",60,10,0.002,4,10,"10_60"
"2017",10,20,0.002,4,10,"10_10"
"2018",20,20,0.002,4,10,"10_20"
"2019",30,20,0.002,4,10,"10_30"
"2020",40,20,0.002,4,10,"10_40"
"2021",50,20,0.002,4,10,"10_50"
"2022",60,20,0.002,4,10,"10_60"
"2033",10,25,0.002,4,10,"10_10"
"2034",20,25,0.002,4,10,"10_20"
"2035",30,25,0.002,4,10,"10_30"
"2036",40,25,0.002,4,10,"10_40"
"2037",50,25,0.002,4,10,"10_50"
"2038",60,25,0.002,4,10,"10_60"
"2049",10,5,0.01,4,10,"10_10"
"2050",20,5,0.01,4,10,"10_20"
"2051",30,5,0.01,4,10,"10_30"
"2052",40,5,0.01,4,10,"10_40"
"2053",50,5,0.01,4,10,"10_50"
"2054",60,5,0.01,4,10,"10_60"
"2065",10,10,0.01,4,10,"10_10"
"2066",20,10,0.01,4,10,"10_20"
"2067",30,10,0.01,4,10,"10_30"
"2068",40,10,0.01,4,10,"10_40"
"2069",50,10,0.01,4,10,"10_50"
"2070",60,10,0.01,4,10,"10_60"
"2081",10,20,0.01,4,10,"10_10"
"2082",20,20,0.01,4,10,"10_20"
"2083",30,20,0.01,4,10,"10_30"
"2084",40,20,0.01,4,10,"10_40"
"2085",50,20,0.01,4,10,"10_50"
"2086",60,20,0.01,4,10,"10_60"
"2097",10,25,0.01,4,10,"10_10"
"2098",20,25,0.01,4,10,"10_20"
"2099",30,25,0.01,4,10,"10_30"
"2100",40,25,0.01,4,10,"10_40"
"2101",50,25,0.01,4,10,"10_50"
"2102",60,25,0.01,4,10,"10_60"
"2113",10,5,0.001,6,10,"10_10"
"2114",20,5,0.001,6,10,"10_20"
"2115",30,5,0.001,6,10,"10_30"
"2116",40,5,0.001,6,10,"10_40"
"2117",50,5,0.001,6,10,"10_50"
"2118",60,5,0.001,6,10,"10_60"
"2129",10,10,0.001,6,10,"10_10"
"2130",20,10,0.001,6,10,"10_20"
"2131",30,10,0.001,6,10,"10_30"
"2132",40,10,0.001,6,10,"10_40"
"2133",50,10,0.001,6,10,"10_50"
"2134",60,10,0.001,6,10,"10_60"
"2145",10,20,0.001,6,10,"10_10"
"2146",20,20,0.001,6,10,"10_20"
"2147",30,20,0.001,6,10,"10_30"
"2148",40,20,0.001,6,10,"10_40"
"2149",50,20,0.001,6,10,"10_50"
"2150",60,20,0.001,6,10,"10_60"
"2161",10,25,0.001,6,10,"10_10"
"2162",20,25,0.001,6,10,"10_20"
"2163",30,25,0.001,6,10,"10_30"
"2164",40,25,0.001,6,10,"10_40"
"2165",50,25,0.001,6,10,"10_50"
"2166",60,25,0.001,6,10,"10_60"
"2177",10,5,0.002,6,10,"10_10"
"2178",20,5,0.002,6,10,"10_20"
"2179",30,5,0.002,6,10,"10_30"
"2180",40,5,0.002,6,10,"10_40"
"2181",50,5,0.002,6,10,"10_50"
"2182",60,5,0.002,6,10,"10_60"
"2193",10,10,0.002,6,10,"10_10"
"2194",20,10,0.002,6,10,"10_20"
"2195",30,10,0.002,6,10,"10_30"
"2196",40,10,0.002,6,10,"10_40"
"2197",50,10,0.002,6,10,"10_50"
"2198",60,10,0.002,6,10,"10_60"
"2209",10,20,0.002,6,10,"10_10"
"2210",20,20,0.002,6,10,"10_20"
"2211",30,20,0.002,6,10,"10_30"
"2212",40,20,0.002,6,10,"10_40"
"2213",50,20,0.002,6,10,"10_50"
"2214",60,20,0.002,6,10,"10_60"
"2225",10,25,0.002,6,10,"10_10"
"2226",20,25,0.002,6,10,"10_20"
"2227",30,25,0.002,6,10,"10_30"
"2228",40,25,0.002,6,10,"10_40"
"2229",50,25,0.002,6,10,"10_50"
"2230",60,25,0.002,6,10,"10_60"
"2241",10,5,0.01,6,10,"10_10"
"2242",20,5,0.01,6,10,"10_20"
"2243",30,5,0.01,6,10,"10_30"
"2244",40,5,0.01,6,10,"10_40"
"2245",50,5,0.01,6,10,"10_50"
"2246",60,5,0.01,6,10,"10_60"
"2257",10,10,0.01,6,10,"10_10"
"2258",20,10,0.01,6,10,"10_20"
"2259",30,10,0.01,6,10,"10_30"
"2260",40,10,0.01,6,10,"10_40"
"2261",50,10,0.01,6,10,"10_50"
"2262",60,10,0.01,6,10,"10_60"
"2273",10,20,0.01,6,10,"10_10"
"2274",20,20,0.01,6,10,"10_20"
"2275",30,20,0.01,6,10,"10_30"
"2276",40,20,0.01,6,10,"10_40"
"2277",50,20,0.01,6,10,"10_50"
"2278",60,20,0.01,6,10,"10_60"
"2289",10,25,0.01,6,10,"10_10"
"2290",20,25,0.01,6,10,"10_20"
"2291",30,25,0.01,6,10,"10_30"
"2292",40,25,0.01,6,10,"10_40"
"2293",50,25,0.01,6,10,"10_50"
"2294",60,25,0.01,6,10,"10_60"
